;M44;M43;M42;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6;M5;M4;M3;M2;M1
380;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;8,224e-006;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;1,180e-005
382;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;1,593e-007;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;8,138e-006
384;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;8,604e-007;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;1,449e-006;6,360e-026;7,529e-007;7,210e-006;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;2,403e-005
386;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;2,029e-006;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;3,419e-006;6,198e-026;6,198e-026;1,701e-005;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;1,474e-005
388;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;2,481e-006;2,521e-006;5,985e-026;4,605e-007;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;2,239e-006
390;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;2,054e-006;2,087e-006;5,836e-026;3,812e-007;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;1,145e-005
392;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;4,623e-006
394;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;1,708e-005;5,429e-026;5,429e-026;5,429e-026;1,584e-006;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026
396;1,062e-005;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;6,312e-008;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;7,204e-006;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;1,479e-006;5,236e-026;5,236e-026;1,004e-005;1,371e-007;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;1,595e-007
398;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;1,317e-006;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;1,657e-006;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;3,327e-006
