;181 Congo Blue;071 Tokyo Blue;120 Deep Blue;119 Dark Blue;115 Peacock Blue;090 Dark Yellow Green;139 Primary Green;101 Yellow;158 Deep Orange;022 Dark Amber;019 Fire;106 Primary Red;126 Mauve;170 Deep Lavender;137 Special Lavender;117 Steel Blue;088 Lime Green;156 Chocolate;652 Urban Sodium;111 Dark Pink;200 Double CTB;204 Full CTO
400;8,04E+00;6,06E+00;4,85E+00;1,12E+01;3,14E+01;1,62E-01;1,60E-02;8,50E-02;1,08E+00;5,72E-01;6,09E-01;2,45E-01;2,23E+01;4,77E+01;6,93E+01;7,43E+01;4,27E+00;3,16E+01;3,53E+00;5,48E+01;4,26E+01;1,45E+01
410;1,15E+01;1,12E+01;9,51E+00;1,85E+01;4,21E+01;2,45E-01;1,40E-02;2,50E-02;9,67E-01;4,92E-01;5,21E-01;3,23E-01;2,55E+01;5,07E+01;6,98E+01;7,91E+01;1,85E+00;2,92E+01;1,93E+00;5,49E+01;5,00E+01;1,70E+01
420;1,51E+01;1,63E+01;1,57E+01;2,55E+01;4,77E+01;3,03E-01;1,10E-02;1,30E-02;8,71E-01;4,37E-01;5,19E-01;3,58E-01;2,86E+01;5,35E+01;7,76E+01;8,16E+01;9,71E-01;2,39E+01;1,15E+00;5,71E+01;5,62E+01;1,86E+01
430;1,93E+01;2,27E+01;2,65E+01;3,56E+01;5,30E+01;3,31E-01;1,00E-02;1,00E-02;7,24E-01;3,71E-01;6,00E-01;3,58E-01;3,14E+01;5,41E+01;7,74E+01;8,75E+01;7,56E-01;1,92E+01;8,54E-01;5,49E+01;5,86E+01;1,84E+01
440;2,30E+01;2,83E+01;3,61E+01;4,40E+01;5,58E+01;3,71E-01;1,00E-02;1,20E-02;5,18E-01;2,83E-01;6,78E-01;2,87E-01;3,41E+01;5,49E+01;8,30E+01;8,52E+01;1,01E+00;1,44E+01;8,96E-01;5,31E+01;6,29E+01;1,77E+01
450;2,33E+01;2,76E+01;3,89E+01;4,68E+01;6,07E+01;4,78E-01;1,50E-02;2,60E-02;3,49E-01;2,10E-01;6,68E-01;1,83E-01;3,18E+01;5,29E+01;8,06E+01;8,91E+01;1,92E+00;1,13E+01;1,22E+00;4,89E+01;6,44E+01;1,79E+01
460;1,95E+01;2,13E+01;3,53E+01;4,57E+01;6,21E+01;7,60E-01;3,30E-02;9,90E-02;2,21E-01;1,51E-01;6,48E-01;9,50E-02;2,49E+01;5,15E+01;7,98E+01;8,87E+01;4,93E+00;8,91E+00;2,09E+00;4,20E+01;6,37E+01;1,88E+01
470;1,39E+01;1,38E+01;2,98E+01;4,10E+01;6,64E+01;1,52E+00;1,55E-01;7,97E-01;1,44E-01;1,15E-01;6,63E-01;4,50E-02;1,70E+01;4,87E+01;7,63E+01;8,67E+01;1,71E+01;7,76E+00;4,37E+00;3,77E+01;6,18E+01;2,18E+01
480;8,42E+00;7,51E+00;2,19E+01;3,56E+01;7,05E+01;3,80E+00;9,23E-01;6,22E+00;1,15E-01;1,06E-01;7,50E-01;2,40E-02;9,77E+00;4,55E+01;7,21E+01;8,75E+01;4,81E+01;8,26E+00;7,99E+00;3,13E+01;5,91E+01;2,67E+01
490;4,28E+00;3,26E+00;1,36E+01;2,65E+01;7,52E+01;9,54E+00;4,43E+00;2,16E+01;1,17E-01;1,18E-01;9,06E-01;1,10E-02;4,91E+00;4,18E+01;6,51E+01;8,62E+01;7,58E+01;9,21E+00;9,99E+00;2,61E+01;5,23E+01;3,14E+01
