;M41;M40;M39;M38;M37;M36;M35;M34;M33;M32;M31;M30;M29;M28;M27;M26;M25;M24;M23;M22;M21;M20;M19;M18;M17;M16;M15;M14;M13;M12;M11;M10;M9;M8;M7;M6
380;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026;2,894e-007;6,796e-026;6,796e-026;6,796e-026;6,796e-026;6,796e-026
382;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026;5,851e-006;6,622e-026;6,622e-026;6,622e-026;6,622e-026;6,622e-026
384;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026;6,360e-026
386;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026;6,198e-026
388;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026;5,985e-026
390;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026;5,836e-026
392;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,605e-026;5,383e-006;5,605e-026;5,605e-026
394;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;7,396e-006;1,946e-006;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;5,429e-026;2,511e-005;5,429e-026;5,429e-026
396;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;4,573e-005;1,666e-005;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;5,236e-026;3,313e-006;3,390e-007;5,236e-026;5,236e-026;5,236e-026;2,350e-005;5,359e-005;1,592e-005;5,236e-026
398;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;9,525e-006;1,307e-005;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;5,043e-026;1,870e-005;1,218e-005;5,043e-026;5,043e-026;4,240e-006;7,073e-005;8,791e-005;3,334e-005;5,043e-026
400;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;3,930e-005;1,404e-005;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;4,827e-026;8,713e-006;4,377e-005;4,237e-005;2,121e-006;4,827e-026;5,102e-005;1,343e-004;1,384e-004;5,059e-005;4,827e-026
402;1,047e-005;4,318e-006;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,696e-005;2,083e-005;4,657e-026;1,546e-005;1,683e-005;4,237e-006;1,480e-005;1,338e-005;4,657e-026;4,657e-026;4,657e-026;4,657e-026;4,657e-026;1,555e-005;5,713e-006;4,657e-026;4,657e-026;4,657e-026;4,657e-026;5,287e-005;1,128e-004;8,591e-005;1,124e-005;4,657e-026;1,584e-004;2,174e-004;2,285e-004;8,534e-005;4,657e-026
404;3,327e-005;1,319e-005;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;7,921e-005;6,230e-005;1,894e-005;9,243e-005;8,484e-005;7,276e-005;8,855e-005;4,729e-005;4,489e-026;4,489e-026;4,489e-026;4,489e-026;4,489e-026;7,496e-005;6,987e-005;4,489e-026;4,489e-026;9,218e-006;4,489e-026;1,265e-004;1,636e-004;1,395e-004;4,076e-005;4,489e-026;3,020e-004;3,110e-004;3,196e-004;1,550e-004;4,530e-006
406;7,999e-005;2,520e-005;4,288e-026;4,288e-026;4,288e-026;4,288e-026;4,288e-026;1,026e-004;8,428e-005;8,619e-005;2,473e-004;2,526e-004;2,241e-004;2,310e-004;1,103e-004;4,288e-026;4,288e-026;4,288e-026;4,288e-026;4,288e-026;1,481e-004;2,227e-004;4,288e-026;4,288e-026;7,433e-006;4,288e-026;2,350e-004;2,249e-004;2,084e-004;8,369e-005;7,920e-006;4,996e-004;4,709e-004;4,529e-004;2,414e-004;2,962e-005
408;1,624e-004;6,050e-005;4,124e-026;4,124e-026;4,124e-026;4,124e-026;1,227e-005;1,160e-004;1,349e-004;2,000e-004;4,472e-004;4,669e-004;4,407e-004;4,429e-004;2,398e-004;4,124e-026;4,124e-026;4,124e-026;4,124e-026;4,124e-026;2,487e-004;4,352e-004;4,124e-026;4,124e-026;2,749e-005;4,124e-026;3,727e-004;3,327e-004;2,951e-004;1,381e-004;1,254e-005;7,716e-004;6,784e-004;6,472e-004;3,450e-004;6,526e-005
410;2,635e-004;9,868e-005;6,431e-006;3,949e-026;3,949e-026;3,949e-026;2,620e-005;1,496e-004;2,537e-004;3,259e-004;7,422e-004;7,611e-004;7,415e-004;7,348e-004;3,727e-004;3,949e-026;3,949e-026;3,949e-026;3,949e-026;3,949e-026;3,803e-004;7,461e-004;3,949e-026;3,949e-026;4,943e-005;3,949e-026;5,596e-004;4,728e-004;4,159e-004;1,917e-004;4,840e-005;1,146e-003;9,306e-004;8,753e-004;4,857e-004;1,110e-004
412;4,052e-004;1,258e-004;3,171e-005;3,764e-026;3,764e-026;3,764e-026;4,375e-005;2,099e-004;3,551e-004;5,757e-004;1,185e-003;1,223e-003;1,197e-003;1,182e-003;6,029e-004;5,621e-005;3,764e-026;3,764e-026;3,764e-026;3,764e-026;5,369e-004;1,222e-003;3,764e-026;3,764e-026;9,983e-005;3,764e-026;8,533e-004;6,712e-004;6,005e-004;3,074e-004;6,210e-005;1,706e-003;1,316e-003;1,211e-003;6,829e-004;1,854e-004
414;5,530e-004;2,020e-004;7,323e-005;3,617e-026;3,617e-026;3,617e-026;8,983e-005;3,220e-004;5,772e-004;9,487e-004;1,861e-003;1,923e-003;1,907e-003;1,895e-003;9,298e-004;1,728e-004;3,617e-026;3,617e-026;3,617e-026;3,617e-026;7,393e-004;1,946e-003;3,617e-026;3,617e-026;1,560e-004;3,617e-026;1,285e-003;9,638e-004;8,401e-004;4,466e-004;9,636e-005;2,483e-003;1,834e-003;1,684e-003;9,468e-004;2,494e-004
