;O Clear;O 181 Congo R;O 71 Tokyo Blue R;O 120 Deep Blue R;O 119 Dark Blue R;O 115 Peacock R;O 090 Dark Y G R;O 139 P Green R;O 101 Yellow R;O 158 Deep Orange R;O 022 Dark Amber R;O 019 Fire R;O 106 P Red R;O 126 Mauve R;O 170 Deep Lav R;O 137 Special Lav R;O 117 Steel Blue R;O 088 Lime Green R;O 156 Chocoloate R;O 652 U Sodium R;O 111 Dark Pink R;O 200 Double CTB R;O 204 Full CTO R;O 180 Dark Lav R;O 174 Dark Steel B R
380;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27;3,41E-27
382;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27;3,32E-27
384;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27;3,19E-27
386;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;9,33E-08;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27;3,11E-27
388;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;8,21E-08;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;1,26E-07;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27;3,00E-27
390;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;6,79E-08;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27;2,93E-27
392;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27;2,81E-27
394;2,27E-06;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;2,73E-27;1,29E-06;2,73E-27;5,05E-07;2,73E-27;2,73E-27;2,73E-27;2,73E-27
396;5,01E-06;2,63E-27;2,63E-27;2,63E-27;2,63E-27;9,84E-08;2,63E-27;2,63E-27;2,63E-27;2,63E-27;2,63E-27;2,63E-27;2,63E-27;2,63E-27;2,63E-27;2,63E-27;1,37E-07;2,63E-27;8,48E-07;1,27E-06;3,24E-06;2,63E-27;2,63E-27;2,63E-27;2,63E-27
398;8,70E-06;2,53E-27;1,08E-07;2,53E-27;2,53E-27;2,77E-06;2,53E-27;2,53E-27;2,53E-27;2,53E-27;2,53E-27;2,53E-27;2,53E-27;2,53E-27;3,77E-07;3,51E-07;3,92E-06;2,53E-27;2,05E-06;2,53E-27;2,73E-06;2,53E-27;2,53E-27;1,60E-07;1,43E-07
