;S Clear;S 181 Congo R;S 071 Tokyo R;S 120 Deep Blue R;S 119 Dark Blue R;S 115 Peacock R;S 090 Dark Y G R;S 139 P Green R;S 101 Yellow R;S 158 Deep Orange R;S 022 Dark Amber R;S 019 Fire R;S 106 P Red R;S 126 Mauve R;S 170 Deep Lav R;S 137 Special Lav R;S 117 Steel Blue R;S 088 Lime Green R;S 156 Chocolate R;S 652 Urban Sodium R;S 111 Dark Pink R;S 200 Double CTB R;S 204 Full CTO R
380;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;1,398e-007;3,411e-027;3,411e-027
382;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;2,299e-008;3,324e-027;3,324e-027
384;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;1,087e-007;3,192e-027;3,192e-027
386;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;5,138e-007;3,111e-027;3,111e-027
388;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;6,956e-007;3,004e-027;3,004e-027
390;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027
392;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;1,278e-006;2,814e-027;2,814e-027
394;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;8,723e-007;2,725e-027;2,725e-027
396;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;1,093e-006;2,628e-027;2,628e-027
398;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;1,934e-007;2,532e-027;2,532e-027
400;2,423e-027;2,948e-007;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;8,533e-007;2,423e-027;2,423e-027
402;7,400e-007;7,172e-007;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;1,460e-007;2,338e-027;2,338e-027;2,338e-027;1,333e-006;2,338e-027;2,338e-027
404;3,326e-006;2,427e-007;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;6,005e-007;2,253e-027;2,253e-027;1,260e-006;2,253e-027;2,629e-007;2,253e-027;1,894e-006;2,253e-027;3,083e-007
