;S 120 Deep Blue G;S 115 Peacock B G;S 090 Dark Y G G;S 101 Yellow G;S 022 Dark Amber G;S 019 Fire G;S 106 Primary Red G;S 170 Deep Lav G;S 137 Special Lav G;S 117 Steel Blue G;S 088 Lime Green G;S 156 Chocolate G;S  652 U Sodium G;S 111 Dark Pink G;S 200 Double CTB G;S 204 Full CTO G;S 181 Congo B D;S 071 Tokyo Blue D;S 119 Dark Blue D;S 138 P Green D;S 158 Deep Orange D;S 126 Mauve D
380;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027;3,411e-027
382;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027;3,324e-027
384;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027;3,192e-027
386;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027;3,111e-027
388;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;2,935e-007;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027;3,004e-027
390;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,430e-007;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027;2,929e-027
392;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027;2,814e-027
394;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027;2,725e-027
396;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;4,148e-008;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027;2,628e-027
398;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;9,437e-007;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027;2,532e-027
400;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;3,297e-007;6,093e-007;2,423e-027;2,423e-027;9,425e-007;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027;2,423e-027
402;6,478e-007;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;2,338e-027;1,996e-006;4,165e-006;2,338e-027;2,338e-027;2,466e-006;2,338e-027;2,338e-027;1,182e-006;2,338e-027;2,338e-027;3,630e-007;2,338e-027;2,338e-027;2,338e-027;1,686e-006
404;3,759e-006;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;2,253e-027;7,406e-006;9,537e-006;2,253e-027;2,253e-027;4,826e-006;2,253e-027;3,176e-007;4,005e-006;4,816e-007;2,139e-006;3,145e-006;2,253e-027;2,253e-027;2,253e-027;5,175e-006
406;8,932e-006;2,152e-027;2,152e-027;2,152e-027;2,152e-027;2,152e-027;2,152e-027;1,423e-005;1,491e-005;2,152e-027;2,152e-027;9,080e-006;2,152e-027;3,492e-006;9,385e-006;2,502e-006;6,758e-006;8,587e-006;2,152e-027;2,152e-027;2,152e-027;9,085e-006
408;1,675e-005;1,260e-006;2,070e-027;2,070e-027;2,070e-027;2,070e-027;2,070e-027;2,273e-005;2,303e-005;3,221e-006;2,070e-027;1,424e-005;2,070e-027;9,782e-006;1,516e-005;7,569e-006;1,381e-005;1,516e-005;2,070e-027;2,070e-027;2,070e-027;1,600e-005
410;2,627e-005;2,334e-006;1,982e-027;1,982e-027;1,982e-027;1,982e-027;1,982e-027;3,437e-005;3,444e-005;9,252e-006;1,982e-027;2,088e-005;1,982e-027;1,871e-005;2,337e-005;1,360e-005;2,196e-005;2,458e-005;2,045e-006;1,982e-027;1,982e-027;2,439e-005
412;3,979e-005;5,556e-006;1,889e-027;1,889e-027;1,889e-027;1,889e-027;1,889e-027;5,235e-005;4,904e-005;1,690e-005;3,102e-007;3,158e-005;1,889e-027;2,818e-005;3,784e-005;2,013e-005;3,600e-005;3,776e-005;8,561e-006;2,833e-007;1,889e-027;3,859e-005
414;6,198e-005;1,078e-005;1,816e-027;1,816e-027;1,816e-027;1,816e-027;1,816e-027;7,894e-005;7,378e-005;2,776e-005;5,252e-006;4,520e-005;1,816e-027;4,620e-005;5,701e-005;3,099e-005;5,580e-005;5,805e-005;1,671e-005;4,743e-006;1,816e-027;5,823e-005
416;9,269e-005;1,791e-005;1,755e-027;1,755e-027;1,755e-027;1,755e-027;1,755e-027;1,123e-004;1,060e-004;4,227e-005;1,067e-005;6,301e-005;1,755e-027;6,648e-005;8,507e-005;4,513e-005;8,326e-005;8,624e-005;2,913e-005;9,130e-006;1,755e-027;8,554e-005
